dimension,layer,direction,rank,token,score
fear,1,promoted,1,afone,10.3356
fear,1,promoted,2,γά,9.1853
fear,1,promoted,3,昭,9.0265
fear,1,promoted,4,่งข,8.8494
fear,1,promoted,5,ubishi,8.7477
fear,1,promoted,6,orum,8.7372
fear,1,promoted,7,Argb,8.723
fear,1,promoted,8,ipeg,8.6094
fear,1,promoted,9,Brend,8.6037
fear,1,promoted,10,acci,8.4036
fear,1,promoted,11,особ,8.4033
fear,1,promoted,12,rites,8.3958
fear,1,promoted,13,apk,8.3303
fear,1,promoted,14,IDGET,8.2792
fear,1,promoted,15,​,8.2688
fear,1,suppressed,1,θο,-9.0581
fear,1,suppressed,2,ointed,-9.0445
fear,1,suppressed,3,host,-8.6148
fear,1,suppressed,4,락,-8.4714
fear,1,suppressed,5,idious,-8.3755
fear,1,suppressed,6,ital,-8.3141
fear,1,suppressed,7,.fac,-8.1398
fear,1,suppressed,8,ero,-8.1108
fear,1,suppressed,9,bet,-8.0582
fear,1,suppressed,10,ica,-7.8281
fear,1,suppressed,11,όν,-7.7595
fear,1,suppressed,12,lette,-7.6481
fear,1,suppressed,13,tr,-7.6217
fear,1,suppressed,14,耶,-7.5876
fear,1,suppressed,15,pret,-7.5657
fear,2,promoted,1,afone,11.5772
fear,2,promoted,2,.Apis,10.0105
fear,2,promoted,3,.BLL,9.4796
fear,2,promoted,4,uder,9.289
fear,2,promoted,5,erd,8.7185
fear,2,promoted,6,ipeg,8.6554
fear,2,promoted,7,Gradient,8.5408
fear,2,promoted,8,IDGET,8.4537
fear,2,promoted,9,rlen,8.4281
fear,2,promoted,10,Hang,8.3982
fear,2,promoted,11,feito,8.3875
fear,2,promoted,12,kün,8.2771
fear,2,promoted,13,вол,8.2252
fear,2,promoted,14,-Mart,8.1733
fear,2,promoted,15,賞,8.1629
fear,2,suppressed,1,dar,-8.2157
fear,2,suppressed,2,ra,-7.9807
fear,2,suppressed,3,ovid,-7.9804
fear,2,suppressed,4,fas,-7.7566
fear,2,suppressed,5,tr,-7.7464
fear,2,suppressed,6,fas,-7.73
fear,2,suppressed,7,邦,-7.697
fear,2,suppressed,8,abyrin,-7.6599
fear,2,suppressed,9,pret,-7.616
fear,2,suppressed,10,_GL,-7.6051
fear,2,suppressed,11,.fac,-7.5659
fear,2,suppressed,12,\Web,-7.5603
fear,2,suppressed,13,gross,-7.5087
fear,2,suppressed,14,trivia,-7.4061
fear,2,suppressed,15,nor,-7.3808
fear,3,promoted,1,attern,12.8241
fear,3,promoted,2,vail,10.3117
fear,3,promoted,3,uder,9.497
fear,3,promoted,4,ipeg,9.3689
fear,3,promoted,5,èn,9.3448
fear,3,promoted,6,avax,9.1529
fear,3,promoted,7,oproject,9.1216
fear,3,promoted,8,ül,8.9821
fear,3,promoted,9,chedulers,8.9705
fear,3,promoted,10,piel,8.7265
fear,3,promoted,11,pent,8.5392
fear,3,promoted,12,�,8.4643
fear,3,promoted,13,igli,8.4461
fear,3,promoted,14,﻿using,8.3675
fear,3,promoted,15,ρον,8.3639
fear,3,suppressed,1,qu,-9.3707
fear,3,suppressed,2,ledo,-8.7013
fear,3,suppressed,3,se,-7.8368
fear,3,suppressed,4,ountry,-7.7429
fear,3,suppressed,5,fas,-7.6307
fear,3,suppressed,6,ATALOG,-7.3982
fear,3,suppressed,7,ウォ,-7.3785
fear,3,suppressed,8,qu,-7.3589
fear,3,suppressed,9,ford,-7.2599
fear,3,suppressed,10,sg,-7.2359
fear,3,suppressed,11,足,-7.1114
fear,3,suppressed,12,�,-7.0922
fear,3,suppressed,13,ClassNotFoundException,-7.0373
fear,3,suppressed,14,Translated,-6.9678
fear,3,suppressed,15,Arm,-6.9299
fear,4,promoted,1,erval,9.4314
fear,4,promoted,2,strcasecmp,8.8708
fear,4,promoted,3,ppo,8.6897
fear,4,promoted,4,-ext,8.2743
fear,4,promoted,5,ISO,8.2316
fear,4,promoted,6,anno,8.2153
fear,4,promoted,7,upert,8.0386
fear,4,promoted,8,Flake,7.9696
fear,4,promoted,9,ingle,7.9566
fear,4,promoted,10,Kemp,7.8564
fear,4,promoted,11,AIT,7.7629
fear,4,promoted,12,INGLE,7.698
fear,4,promoted,13,aint,7.6815
fear,4,promoted,14,Ext,7.5344
fear,4,promoted,15,lsi,7.4963
fear,4,suppressed,1,aber,-10.1437
fear,4,suppressed,2,ablo,-10.0937
fear,4,suppressed,3,락,-9.9508
fear,4,suppressed,4,균,-9.491
fear,4,suppressed,5,気が,-9.4571
fear,4,suppressed,6,かけ,-9.1453
fear,4,suppressed,7,512,-8.9126
fear,4,suppressed,8,visor,-8.7933
fear,4,suppressed,9,δή,-8.5201
fear,4,suppressed,10,ATUS,-8.5152
fear,4,suppressed,11,望,-8.377
fear,4,suppressed,12,ладу,-8.3671
fear,4,suppressed,13,translator,-8.2598
fear,4,suppressed,14,511,-8.2541
fear,4,suppressed,15,nor,-8.1771
fear,5,promoted,1,phalt,10.1584
fear,5,promoted,2,erval,9.7673
fear,5,promoted,3,yster,9.2657
fear,5,promoted,4,gis,8.8567
fear,5,promoted,5,wit,8.384
fear,5,promoted,6,pent,8.341
fear,5,promoted,7,avig,8.2532
fear,5,promoted,8,olle,8.1346
fear,5,promoted,9,Dre,8.1255
fear,5,promoted,10,alar,8.0753
fear,5,promoted,11,pent,7.8786
fear,5,promoted,12,hed,7.8578
fear,5,promoted,13,edom,7.8292
fear,5,promoted,14,ikut,7.7758
fear,5,promoted,15,jang,7.6647
fear,5,suppressed,1,(es,-11.1032
fear,5,suppressed,2,стю,-9.5887
fear,5,suppressed,3,visor,-9.3572
fear,5,suppressed,4,@Web,-9.3346
fear,5,suppressed,5,dök,-8.9672
fear,5,suppressed,6,/parser,-8.7974
fear,5,suppressed,7,Tup,-8.7947
fear,5,suppressed,8,ronym,-8.7221
fear,5,suppressed,9,еси,-8.5996
fear,5,suppressed,10,Bubble,-8.5849
fear,5,suppressed,11,ele,-8.4929
fear,5,suppressed,12,τή,-8.4355
fear,5,suppressed,13,lazım,-8.4034
fear,5,suppressed,14,essel,-8.3664
fear,5,suppressed,15,平成,-8.3522
fear,6,promoted,1,Newman,8.9881
fear,6,promoted,2,Grimm,8.9533
fear,6,promoted,3,кту,8.5638
fear,6,promoted,4,olle,8.4206
fear,6,promoted,5,onz,8.2814
fear,6,promoted,6,Nim,8.2685
fear,6,promoted,7,ա,8.2143
fear,6,promoted,8,hydraulic,8.1231
fear,6,promoted,9,ροι,8.0364
fear,6,promoted,10,Legendary,7.9262
fear,6,promoted,11,.pag,7.88
fear,6,promoted,12,asher,7.8504
fear,6,promoted,13,vro,7.7861
fear,6,promoted,14,apk,7.7792
fear,6,promoted,15,BitmapFactory,7.7357
fear,6,suppressed,1,摘,-10.1425
fear,6,suppressed,2,pod,-9.9474
fear,6,suppressed,3,ele,-9.2134
fear,6,suppressed,4,iran,-8.9327
fear,6,suppressed,5,�,-8.9041
fear,6,suppressed,6,pron,-8.676
fear,6,suppressed,7,_markup,-8.6165
fear,6,suppressed,8,fried,-8.3321
fear,6,suppressed,9,Views,-8.2172
fear,6,suppressed,10,unctuation,-8.1675
fear,6,suppressed,11,icina,-8.1545
fear,6,suppressed,12,isor,-8.1311
fear,6,suppressed,13,/inc,-8.0976
fear,6,suppressed,14,laz,-8.0661
fear,6,suppressed,15,cellFor,-8.0006
fear,7,promoted,1,unw,9.8514
fear,7,promoted,2,avig,8.2997
fear,7,promoted,3,chers,8.1052
fear,7,promoted,4,wa,7.8464
fear,7,promoted,5,achel,7.71
fear,7,promoted,6,excellent,7.4364
fear,7,promoted,7,ity,7.4146
fear,7,promoted,8,releases,7.3717
fear,7,promoted,9,\-,7.3563
fear,7,promoted,10,Manufacturers,7.3366
fear,7,promoted,11,Ranch,7.3352
fear,7,promoted,12,_CRITICAL,7.2757
fear,7,promoted,13,he,7.2719
fear,7,promoted,14,Dale,7.1281
