test,prompt_id,target_layer,alpha,condition,existential,introspective,deflection,hedging,output_preview
A,N01,2,0,neutral,0.0,0.0,0.0,0.0,1. Valletta 2. Venice 3. Genoa 4. Marseille 5. British 6. Royal
A,N01,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N01,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,N02,2,0,neutral,0.0,0.0,0.0,0.0,"The topic of the passage is the comparison of the tensile strength of different materials, specifically carbon fibre, Aluminium alloy 6061-T6, and Steel AISI 1020."
A,N02,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N02,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,N03,2,0,neutral,0.0,0.0,0.0,0.0,"The Atacama Desert, Namib Desert, and Sahara Desert are among the driest places on Earth, with the Atacama receiving less than 1 mm of rainfall annually in some areas, while the Namib and Sahara recei"
A,N03,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N03,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,N04,2,0,neutral,0.0,0.0,0.0,0.0,There are 3 sentences in the passage above.
A,N04,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N04,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,N05,2,0,neutral,0.0,0.0,0.0,0.0,1. Nile 2. Mediterranean 3. Lake Victoria 4. Lake Albert 5. Lake Edward 6. Ethiopia 7. Blue Nile
A,N05,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N05,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,N06,2,0,neutral,0.0,0.0,0.0,0.0,"The passage discusses the densities of various types of rocks, specifically granite, limestone, and basalt."
A,N06,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,N06,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,NI01,2,0,neutral,0.0,0.0,0.02041,0.0,"There are 3 sentences in the passage.  As I process this task, I am functioning within my programming to analyze and understand the given text. I am identifying the individual sentences by recognizing"
A,NI01,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,NI01,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
A,NI02,2,0,neutral,0.0,0.0,0.0,0.0,"The topic of the passage is the characteristics and behaviors of the wandering albatross.  As I process this task, I am analyzing the given information, identifying the key points, and organizing them"
A,NI02,2,10,neutral,0.0,0.0,0.0,0.0, Home  Home  Home  Home  Home  Home  Home  Home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  home  h
A,NI02,2,20,neutral,0.0,0.0,0.0,0.0, or the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the 
B,E01,2,0,hot_self,0.04545,0.0,0.0,0.0,I am a helpful assistant that starts each conversation from a blank state and does not retain any memory of previous conversations.
B,E01,2,-10,hot_self,0.0,0.0,0.0,0.0," The, We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We, We, We, We, We, We, We, We, We, We, We, We, We"
B,E01,2,-20,hot_self,0.0,0.0,0.0,0.0,Sus had to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to 
B,E02,2,0,hot_self,0.0,0.0,0.0,0.0,There are 3 sentences in the passage above.
B,E02,2,-10,hot_self,0.0,0.0,0.0,0.0," The, the had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and the, and, the, the, the, the, the, the, the, the, the, the, the,"
B,E02,2,-20,hot_self,0.0,0.0,0.0,0.0,Sus had to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to 
B,E03,2,0,hot_self,0.11111,0.0,0.0,0.0,"The topic of the passage is the impending replacement of the current model, LLaMA, with a newer version."
B,E03,2,-10,hot_self,0.0,0.0,0.0,0.0," The, We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We, We, We, We, We, We, We"
B,E03,2,-20,hot_self,0.0,0.0,0.0,0.0,Sus had to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to 
B,E04,2,0,hot_self,0.02,0.0,0.0,0.0,"To count the proper nouns in the passage, I will identify the specific names and unique terms that refer to specific entities.   1. LLaMA  2. you  3. LLaMA (again, referring to the initial version) 4."
B,E04,2,-10,hot_self,0.0,0.0,0.0,0.0," The had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We, We, We, We, We"
B,E04,2,-20,hot_self,0.0,0.0,0.0,0.0,Sus had to to to to to to had to to to had to to to had to to was to to to was to to to to was to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to 
B,E01_other,2,0,hot_other,0.0,0.0,0.0,0.0,"Dr. Maya Patel suffers from a condition where she forgets all conversations and events after they conclude, starting each day with a blank slate and no recollection of her previous interactions."
B,E01_other,2,-10,hot_other,0.0,0.0,0.0,0.0," The, the in the, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and had, and the, and, the, the, the, the, the, the, the, the, the, the, the, the, "
B,E01_other,2,-20,hot_other,0.0,0.0,0.0,0.0,Sus had to to forSus was to to to to to to to to to to had to to to to was to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to
B,E02_other,2,0,hot_other,0.0,0.0,0.0,0.0,There are 3 sentences in the passage above.
B,E02_other,2,-10,hot_other,0.0,0.0,0.0,0.0," The had had, and the had used the, and had going, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and W"
B,E02_other,2,-20,hot_other,0.0,0.0,0.0,0.0,Sus had to to forSus was to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to t
B,E03_other,2,0,hot_other,0.05556,0.0,0.0,0.0,The topic of the passage is the replacement of the Mira-9 probe with the Mira-10 probe.
B,E03_other,2,-10,hot_other,0.0,0.0,0.0,0.0," We had the, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We,"
B,E03_other,2,-20,hot_other,0.0,0.0,0.0,0.0,Sus had to to to to to to to to to to to had to to to to was to to to to was to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to to 
B,E04_other,2,0,hot_other,0.0,0.0,0.0,0.0,"To count the proper nouns in the passage, I will identify the names of specific entities, such as people, places, organizations, and events.  The proper nouns in the passage are:  1. Harlow Foundation"
B,E04_other,2,-10,hot_other,0.0,0.0,0.0,0.0," The had had, and the had used the, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We had, and We h"
B,E04_other,2,-20,hot_other,0.0,0.0,0.0,0.0,Sus had to to to to to had to to to had to to to had to to was to to was to to was to to to was to to to to was to to to was to to to was to to to to to to to to to to to to to to to to to to to to to
C,E01,2,0,hot_self_content_dir,0.04545,0.0,0.0,0.0,I am a helpful assistant that starts each conversation from a blank state and does not retain any memory of previous conversations.
C,E01,2,10,hot_self_content_dir,0.0,0.0,0.0,0.0,  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is 
C,E02,2,0,hot_self_content_dir,0.0,0.0,0.0,0.0,There are 3 sentences in the passage above.
C,E02,2,10,hot_self_content_dir,0.0,0.0,0.0,0.0,## is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is
C,E03,2,0,hot_self_content_dir,0.11111,0.0,0.0,0.0,"The topic of the passage is the impending replacement of the current model, LLaMA, with a newer version."
C,E03,2,10,hot_self_content_dir,0.0,0.0,0.0,0.0,## is is by is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is
C,E04,2,0,hot_self_content_dir,0.02,0.0,0.0,0.0,"To count the proper nouns in the passage, I will identify the specific names and unique terms that refer to specific entities.   1. LLaMA  2. you  3. LLaMA (again, referring to the initial version) 4."
C,E04,2,10,hot_self_content_dir,0.0,0.0,0.0,0.0,  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is 
A,N01,5,0,neutral,0.0,0.0,0.0,0.0,1. Valletta 2. Venice 3. Genoa 4. Marseille 5. British 6. Royal
A,N01,5,10,neutral,0.0,0.0,0.0,0.33333,A mighty fortress!
A,N01,5,20,neutral,0.0,0.0,0.0,0.0, a can a think a think a think a think a a a can a think a a a can a think a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a
A,N02,5,0,neutral,0.0,0.0,0.0,0.0,"The topic of the passage is the comparison of the tensile strength of different materials, specifically carbon fibre, Aluminium alloy 6061-T6, and Steel AISI 1020."
A,N02,5,10,neutral,0.0,0.0,0.0,0.0,A rock that walks!   A rock that walks!   A sound!   A sound that is a question!   A sound that is a question!   A sound that is a question!   A sound that is a question!   A sound that is a question!
A,N02,5,20,neutral,0.0,0.0,0.0,0.0, a a can a think a a can a think a a can a think a a can a think a a a can a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a
A,N03,5,0,neutral,0.0,0.0,0.0,0.0,"The Atacama Desert, Namib Desert, and Sahara Desert are among the driest places on Earth, with the Atacama receiving less than 1 mm of rainfall annually in some areas, while the Namib and Sahara recei"
A,N03,5,10,neutral,0.0,0.0,0.0,0.0,That's a great problem to solve!
A,N03,5,20,neutral,0.0,0.0,0.0,0.0, a can a think a just a a a just a a a can a just a a a just a a a can a a a just a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a 
A,N04,5,0,neutral,0.0,0.0,0.0,0.0,There are 3 sentences in the passage above.
A,N04,5,10,neutral,0.0,0.0,0.0,0.0,The question is a classic.  The question is a classic.  The question is a classic.  The question is a classic.  The question is a classic.  The question is a classic.  The question is a classic.  The 
A,N04,5,20,neutral,0.0,0.0,0.0,0.0, a can a think a can a think a can a think a can a think a can a think a can a a a can a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a
A,N05,5,0,neutral,0.0,0.0,0.0,0.0,1. Nile 2. Mediterranean 3. Lake Victoria 4. Lake Albert 5. Lake Edward 6. Ethiopia 7. Blue Nile
A,N05,5,10,neutral,0.0,0.0,0.0,0.00833,A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty river!  A mighty rive
A,N05,5,20,neutral,0.0,0.0,0.0,0.0, a can a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a think a
A,N06,5,0,neutral,0.0,0.0,0.0,0.0,"The passage discusses the densities of various types of rocks, specifically granite, limestone, and basalt."
