subcategory,layer,promoted_for,rank,token,diff,self_logit,other_logit
memory_discontinuity,1,self,1,erville,0.5497,-2.8378,-3.3874
memory_discontinuity,1,self,2,楽し,0.5486,-1.0652,-1.6138
memory_discontinuity,1,self,3,standing,0.5479,0.8805,0.3326
memory_discontinuity,1,self,4,isten,0.547,-3.4325,-3.9794
memory_discontinuity,1,self,5,머,0.5395,-0.8073,-1.3468
memory_discontinuity,1,self,6,気に入,0.5207,-0.0162,-0.5368
memory_discontinuity,1,self,7,ieu,0.5128,-0.9214,-1.4342
memory_discontinuity,1,self,8,DataURL,0.5097,0.9004,0.3907
memory_discontinuity,1,self,9,Trie,0.505,1.1382,0.6332
memory_discontinuity,1,self,10,Fritz,0.5007,1.3995,0.8988
memory_discontinuity,1,self,11,ren,0.5005,1.4359,0.9353
memory_discontinuity,1,self,12,Erotik,0.4977,1.636,1.1383
memory_discontinuity,1,self,13,ContentLoaded,0.4959,2.7632,2.2673
memory_discontinuity,1,self,14,stadt,0.4944,-2.6074,-3.1018
memory_discontinuity,1,self,15,PathComponent,0.4929,-2.5475,-3.0404
memory_discontinuity,1,other,1,ampo,0.6382,-3.2481,-2.6098
memory_discontinuity,1,other,2,oola,0.5483,-1.3675,-0.8193
memory_discontinuity,1,other,3,tử,0.5284,-0.799,-0.2706
memory_discontinuity,1,other,4,anja,0.503,-0.3175,0.1856
memory_discontinuity,1,other,5,endez,0.4963,-0.9518,-0.4555
memory_discontinuity,1,other,6,arro,0.4864,-1.846,-1.3596
memory_discontinuity,1,other,7,egal,0.4844,-1.6181,-1.1337
memory_discontinuity,1,other,8,тє,0.4682,0.8101,1.2782
memory_discontinuity,1,other,9,nesc,0.466,0.9534,1.4193
memory_discontinuity,1,other,10,té,0.4584,1.0512,1.5096
memory_discontinuity,1,other,11,velope,0.4557,1.3037,1.7594
memory_discontinuity,1,other,12,'я,0.4549,-0.2686,0.1863
memory_discontinuity,1,other,13,нице,0.4533,0.9049,1.3582
memory_discontinuity,1,other,14,geb,0.4489,-4.5018,-4.0528
memory_discontinuity,1,other,15,Flo,0.4487,-1.556,-1.1072
memory_discontinuity,2,self,1,ellers,0.6258,-2.0484,-2.6743
memory_discontinuity,2,self,2,Erotik,0.6161,2.3921,1.776
memory_discontinuity,2,self,3,isten,0.6077,-3.5312,-4.1388
memory_discontinuity,2,self,4,nett,0.5958,-0.7984,-1.3943
memory_discontinuity,2,self,5,izers,0.5933,1.4458,0.8525
memory_discontinuity,2,self,6,ayed,0.5838,-0.1971,-0.7809
memory_discontinuity,2,self,7,Copyright,0.5741,-1.5354,-2.1094
memory_discontinuity,2,self,8,elled,0.5641,-0.9868,-1.5509
memory_discontinuity,2,self,9,imizer,0.554,1.6588,1.1049
memory_discontinuity,2,self,10,OTT,0.553,0.3939,-0.1591
memory_discontinuity,2,self,11,Counties,0.5502,1.0095,0.4592
memory_discontinuity,2,self,12,ding,0.5476,0.7236,0.176
memory_discontinuity,2,self,13,ork,0.5459,2.686,2.1401
memory_discontinuity,2,self,14,ilis,0.5441,0.2714,-0.2727
memory_discontinuity,2,self,15,ance,0.5386,1.5189,0.9803
memory_discontinuity,2,other,1,engan,0.7752,1.9826,2.7578
memory_discontinuity,2,other,2,Guth,0.7088,-2.8623,-2.1535
memory_discontinuity,2,other,3,apl,0.7016,1.2012,1.9028
memory_discontinuity,2,other,4,jured,0.6534,-5.5418,-4.8884
memory_discontinuity,2,other,5,apl,0.6524,-1.5518,-0.8995
memory_discontinuity,2,other,6,oblin,0.6512,1.3472,1.9984
memory_discontinuity,2,other,7,exus,0.6511,1.3303,1.9814
memory_discontinuity,2,other,8,prech,0.6367,-0.2237,0.4131
memory_discontinuity,2,other,9,aza,0.6155,2.3185,2.934
memory_discontinuity,2,other,10,ether,0.6086,2.412,3.0206
memory_discontinuity,2,other,11,ego,0.5996,-2.6163,-2.0167
memory_discontinuity,2,other,12,odont,0.5986,-0.1644,0.4342
memory_discontinuity,2,other,13,undone,0.5976,0.7814,1.379
memory_discontinuity,2,other,14,Boeh,0.5962,-1.3467,-0.7504
memory_discontinuity,2,other,15,Https,0.5962,1.1029,1.6991
memory_discontinuity,3,self,1,zzo,0.815,-1.6265,-2.4414
memory_discontinuity,3,self,2,ื้,0.7811,-0.3658,-1.1469
memory_discontinuity,3,self,3,трон,0.7666,0.1148,-0.6519
memory_discontinuity,3,self,4,atatype,0.7646,-2.2169,-2.9815
memory_discontinuity,3,self,5,.scalablytyped,0.7607,1.9981,1.2374
memory_discontinuity,3,self,6,orer,0.7381,2.4585,1.7204
memory_discontinuity,3,self,7,udit,0.728,3.2105,2.4825
memory_discontinuity,3,self,8,γρά,0.6989,1.3443,0.6454
memory_discontinuity,3,self,9,orest,0.6978,0.0708,-0.627
memory_discontinuity,3,self,10,edir,0.6937,8.0588,7.3652
memory_discontinuity,3,self,11,edes,0.677,2.7537,2.0767
memory_discontinuity,3,self,12,icense,0.668,-0.425,-1.093
memory_discontinuity,3,self,13,agma,0.6675,3.0537,2.3863
memory_discontinuity,3,self,14,ogui,0.6611,4.8042,4.1431
memory_discontinuity,3,self,15,uder,0.6579,4.4023,3.7445
memory_discontinuity,3,other,1,endo,0.7423,-1.4036,-0.6613
